,0,sentence_ID,verb,E,P,A
5,,18.0,prepare,2.2546999573548936,1.9722100754477048,-0.29227013907424754
6,,19.0,know,2.7977511072841663,1.940408587835619,0.08732271299604516
7,,22.0,know,2.8106199098987257,1.953697221269892,0.07699736386101227
8,,22.0,hear,2.2769172633071264,1.0498413308884713,0.5440442811209685
9,,22.0,think,0.6665061078414514,0.7828355186343271,-0.4792396093924831
10,,22.0,hear,2.2683093325656127,1.0521822711376008,0.5438026993276821
11,,29.0,see,1.5817768070183813,1.1196842118679065,-0.12997928164162398
12,,58.0,hear,2.264990394666681,1.051262653707544,0.5436336284509681
13,,64.0,sweep,-0.6981648307217101,1.028069716043759,0.8794168449675264
14,,68.0,see,1.5447076430726852,1.1157536290774925,-0.1268442831095734
15,,103.0,ride,1.2416020003788906,1.0210550247147931,1.013377302828438
16,,103.0,ride,1.2278001646756063,1.0282382307001303,1.0379442229644071
17,,118.0,want,0.2708596266497689,0.2630060002668378,-0.05064965533926814
18,,133.0,put,-0.38064878629051524,1.377326483510685,0.1871062200546145
19,,133.0,put,-0.33611450957358174,1.3709295847850842,0.18093615476034372
20,,139.0,clutch,-0.3213812400957184,0.318811585880012,-0.6689007377427875
21,,139.0,clutch,-0.3051529918932418,0.31593451937197986,-0.7030623917679839
22,,151.0,take,1.0267770953618862,1.5378078471911654,0.1612921488407396
23,,151.0,take,1.0216264887013145,1.540801565107715,0.15640214472768196
24,,202.0,pass,0.2179654406032802,1.1837572638864575,-0.5785474540925198
25,,215.0,think,0.6453271363358913,0.7749654590076122,-0.460307156326582
26,,228.0,wish,0.9008905246796068,0.6007701420847322,-0.5867562770764397
27,,230.0,dressed,1.566879005827982,1.395310483623062,0.5547761761288524
28,,230.0,tie,0.24787142962830613,1.5669575063167547,0.2592075340925508
29,,260.0,wish,0.9083628992993101,0.6021884396362832,-0.57642181984248
30,,260.0,wish,0.924421193468368,0.6165534108655263,-0.5787953429177345
31,,322.0,noticed,1.867478294501963,1.4172734092933554,0.40871021268456315
